# ----------------------------------------,,,,,,
# Reports snapshot,,,,,,
# Account: BGW Doors,,,,,,
# Property: BGW Doors,,,,,,
# ----------------------------------------,,,,,,
#,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Sessions,Add to carts,Purchases,Checkouts,,,
65848,963,44,566,,,
,,,,,,
#,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Nth day,Active users,,,,,
BA,3,,,,,
BB,7,,,,,
BD,248,,,,,
BE,3,,,,,
BG,42,,,,,
BH,18,,,,,
BN,2,,,,,
BO,20,,,,,
BR,406,,,,,
BS,11,,,,,
BW,1,,,,,
BY,6,,,,,
BZ,1,,,,,
CA,107,,,,,
CG,3,,,,,
CH,2,,,,,
CI,4,,,,,
CL,66,,,,,
CN,822,,,,,
CO,107,,,,,
CR,18,,,,,
CY,2,,,,,
CZ,4,,,,,
DE,300,,,,,
DK,1,,,,,
DO,13,,,,,
DZ,34,,,,,
EC,46,,,,,
EE,2,,,,,
EG,49,,,,,
EH,2,,,,,
ES,53,,,,,
ET,13,,,,,
FM,1,,,,,
FR,41,,,,,
GA,2,,,,,
GB,152,,,,,
GD,3,,,,,
GE,12,,,,,
GH,15,,,,,
GR,2,,,,,
GT,19,,,,,
GY,3,,,,,
HK,53,,,,,
HN,19,,,,,
HR,1,,,,,
HT,4,,,,,
ID,162,,,,,
IE,28,,,,,
IL,11,,,,,
IN,610,,,,,
IQ,340,,,,,
IR,14,,,,,
IS,1,,,,,
IT,15,,,,,
JM,40,,,,,
JO,48,,,,,
JP,48,,,,,
KE,59,,,,,
KG,10,,,,,
KH,24,,,,,
KR,15,,,,,
KW,3,,,,,
KY,3,,,,,
KZ,28,,,,,
LA,16,,,,,
LB,9,,,,,
LC,1,,,,,
LK,2,,,,,
LR,2,,,,,
LT,1,,,,,
LU,3,,,,,
LV,1,,,,,
LY,13,,,,,
MA,62,,,,,
MD,4,,,,,
MK,2,,,,,
MM,6,,,,,
MT,1,,,,,
MU,1,,,,,
MW,1,,,,,
MX,195,,,,,
MY,39,,,,,
NG,34,,,,,
NI,13,,,,,
NL,88,,,,,
NP,26,,,,,
NZ,14,,,,,
OM,22,,,,,
PA,17,,,,,
PE,23,,,,,
PH,105,,,,,
PK,148,,,,,
PL,27,,,,,
PR,5,,,,,
PS,9,,,,,
PT,5,,,,,
PY,30,,,,,
QA,1,,,,,
RO,75,,,,,
RS,6,,,,,
RU,162,,,,,
SA,149,,,,,
SC,1,,,,,
SE,28,,,,,
SG,908,,,,,
SI,1,,,,,
SN,18,,,,,
SO,1,,,,,
SV,15,,,,,
SX,1,,,,,
SY,47,,,,,
TC,2,,,,,
TG,2,,,,,
TH,23,,,,,
TN,33,,,,,
TR,182,,,,,
TT,4,,,,,
TW,18,,,,,
UA,55,,,,,
US,46652,,,,,
UY,29,,,,,
UZ,65,,,,,
VE,123,,,,,
VI,2,,,,,
VN,865,,,,,
XK,4,,,,,
ZA,57,,,,,
ZM,1,,,,,
,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Country,Active users,,,,,
US,46652,,,,,
SG,908,,,,,
VN,865,,,,,
CN,822,,,,,
IN,610,,,,,
BR,406,,,,,
IQ,340,,,,,
,,,,,,
# How are active users trending?,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Nth day,30 days,7 days,1 day,,,
0,4095,928,122,,,
1,4048,927,131,,,
2,4119,972,229,,,
3,4130,998,151,,,
4,4056,1015,123,,,
5,4020,1007,144,,,
6,3979,972,85,,,
7,3884,914,65,,,
8,3802,854,73,,,
9,3696,691,67,,,
10,3614,610,70,,,
11,3527,588,104,,,
12,3452,505,64,,,
13,3419,507,84,,,
14,3370,491,50,,,
15,3311,494,80,,,
16,3316,525,101,,,
17,3365,602,146,,,
18,3285,568,66,,,
19,3224,603,100,,,
20,3208,604,88,,,
21,3151,624,70,,,
22,3088,606,60,,,
23,3007,560,58,,,
24,2877,422,1,,,
25,2699,360,2,,,
26,2617,308,47,,,
27,2560,274,49,,,
28,2451,248,42,,,
29,2367,228,40,,,
30,2283,207,35,,,
31,2189,241,36,,,
32,2003,281,49,,,
33,1902,287,55,,,
34,1849,307,73,,,
35,1771,331,62,,,
36,1738,338,50,,,
37,1731,355,52,,,
38,1709,367,49,,,
39,1734,417,93,,,
40,1745,441,81,,,
41,1741,467,98,,,
42,1757,482,80,,,
43,1747,507,72,,,
44,1776,528,74,,,
45,1817,589,114,,,
46,1807,590,92,,,
47,1775,620,109,,,
48,1811,627,103,,,
49,1792,631,82,,,
50,1807,656,96,,,
51,1831,668,88,,,
52,1858,637,84,,,
53,1888,636,93,,,
54,1976,620,100,,,
55,2195,743,232,,,
56,2447,967,317,,,
57,2624,1101,236,,,
58,2847,1277,273,,,
59,3243,1632,440,,,
60,3551,1895,362,,,
61,3718,2002,216,,,
62,3927,2038,266,,,
63,4074,1939,212,,,
64,4279,1989,288,,,
65,4525,2036,322,,,
66,4728,1863,268,,,
67,4962,1811,308,,,
68,5211,1912,328,,,
69,5646,2179,549,,,
70,6878,3340,1386,,,
71,7206,3474,411,,,
72,8541,4595,1459,,,
73,9421,5365,1035,,,
74,9897,5629,576,,,
75,10484,5982,667,,,
76,10635,5704,261,,,
77,10760,4562,233,,,
78,10913,4424,265,,,
79,11044,3211,243,,,
80,11331,2541,366,,,
81,11467,2219,265,,,
82,11655,1825,283,,,
83,11840,1816,257,,,
84,12006,1885,308,,,
85,12134,1973,362,,,
86,12096,2033,301,,,
87,12180,1968,293,,,
88,12245,2019,311,,,
89,12193,2105,370,,,
90,12129,2168,326,,,
91,12224,2182,321,,,
92,12302,2166,362,,,
93,12365,2169,313,,,
94,12582,2305,432,,,
95,12622,2355,365,,,
