"Customer country","Customer region","Customer city","New customer records"
"US","US-IN","US-IN-Sullivan",1
"US","US-CA","US-CA-Vista",1
"US","US-CA","US-CA-LosGatos",1
"US","US-IN","US-IN-Bargersville",1
"US","US-FL","US-FL-SunCityCenter",1
"US","US-IL","US-IL-MachesneyPark",1
"US","US-KS","US-KS-Haysville",1
"US","US-CA","US-CA-Fairfield",1
"US","US-MD","US-MD-Randallstown",1
"US","US-CA","US-CA-Calexico",1
"US","US-FL","US-FL-Clewiston",1
"US","US-CO","US-CO-Parker",1
"US","US-MO","US-MO-KansasCity",1
"US","US-WA","US-WA-NewmanLake",1
"US","US-PA","US-PA-Butler",1
"US","US-TX","US-TX-WestColumbia",1
"US","US-TX","US-TX-Baytown",1
"US","US-NV","US-NV-NorthLasVegas",1
"US","US-CA","US-CA-Tulare",1
"US","US-CA","US-CA-Ridgecrest",1
"US","US-NJ","US-NJ-Plainsboro",1
"US","US-CA","US-CA-Covina",1
"US","US-CA","US-CA-HaciendaHeights",1
"US","US-GA","US-GA-Sylvania",1
"US","US-NJ","US-NJ-JerseyCity",1
"US","US-IL","US-IL-TinleyPark",1
"US","US-FL","US-FL-NorthLauderdale",1
"US","US-NY","US-NY-LittleNeck",1
"US","US-TX","US-TX-Mesquite",1
"US","US-VA","US-VA-PleasantValley",1
"US","US-GA","US-GA-Douglasville",1
"US","US-TX","US-TX-Denton",1
"US","US-WA","US-WA-SeaTac",1
"US","US-OR","US-OR-Gresham",1
"US","US-NH","US-NH-Nashua",1
"US","US-NC","US-NC-Gastonia",1
"US","US-WA","US-WA-Tacoma",1
"US","US-NY","US-NY-Plattsburgh",1
"US","US-VA","US-VA-CapeCharles",1
"US","US-NJ","US-NJ-Martinsville",1
"US","US-NC","US-NC-Laurinburg",1
"US","US-VA","US-VA-GlenAllen",1
"US","US-NY","US-NY-Ava",1
"US","US-OK","US-OK-Muldrow",1
"US","US-NY","US-NY-Freeport",1
"US","US-PA","US-PA-Homestead",1
"US","US-CA","US-CA-ElkGrove",1
"US","US-NY","US-NY-Fishkill",1
"US","US-PA","ZZ",1
"US","US-WA","US-WA-Vancouver",1
"US","US-CA","US-CA-MorenoValley",1
"US","US-NM","US-NM-Albuquerque",1
"US","US-TX","US-TX-Austin",1
"US","US-TN","US-TN-Morristown",1
"US","US-ID","US-ID-Filer",1
"US","US-MI","US-MI-EastLansing",1
"US","US-MA","US-MA-Palmer",1
"US","US-AZ","US-AZ-Tucson",1
"US","US-CA","US-CA-Rialto",1
"US","US-CA","US-CA-LosAltos",1
"US","US-NC","ZZ",1
"US","US-MD","US-MD-Rockville",1
"US","US-FL","US-FL-Deltona",1
"US","US-CT","US-CT-Bridgeport",1
"US","US-OR","US-OR-LincolnBeach",1
"US","US-CA","US-CA-Claremont",1
"US","US-MA","US-MA-Brookline",1
"US","US-NY","US-NY-Flushing",1
"US","US-VA","US-VA-Smithfield",1
"US","US-WA","US-WA-Camas",1
"US","US-GA","US-GA-Conyers",1
"US","US-FL","US-FL-Zephyrhills",1
"US","US-CA","US-CA-Salinas",1
"US","US-MS","US-MS-Natchez",1
"US","US-WA","US-WA-Spokane",1
"US","US-MA","US-MA-Middleborough",1
"US","US-NY","US-NY-RoslynHeights",1
"US","US-NY","US-NY-DeerPark",1
"US","US-NC","US-NC-Durham",1
"US","US-NJ","US-NJ-NewMilford",1
"US","US-MO","US-MO-Independence",1
"US","US-FL","US-FL-MyakkaCity",1
"US","US-CA","US-CA-SanRamon",1
"US","US-UT","US-UT-ParkCity",1
"US","US-NC","US-NC-Penrose",1
"US","US-NY","US-NY-Rosedale",1
"US","US-KS","US-KS-Paola",1
"US","US-CA","US-CA-SanMarino",1
"US","US-CO","US-CO-GreenwoodVillage",1
"US","US-IN","US-IN-DeMotte",1
"US","US-HI","US-HI-Honolulu",1
"US","US-PA","US-PA-Langhorne",1
"US","US-MD","US-MD-SilverSpring",1
"US","US-CA","US-CA-BellGardens",1
"US","US-CA","US-CA-Pasadena",1
"US","US-CO","US-CO-ColoradoSprings",1
"US","US-NY","US-NY-NewHydePark",1
"US","US-FL","US-FL-Summerfield",1
"US","US-NY","US-NY-Ronkonkoma",1
"US","US-CT","US-CT-Ansonia",1
"US","US-OH","US-OH-Westerville",1
"US","US-GA","US-GA-Rex",1
"US","US-GA","US-GA-Brookhaven",1
"US","US-FL","US-FL-Seffner",1
"US","US-CA","US-CA-YubaCity",1
"AO",,"ZZ",1
"US","US-NJ","US-NJ-Medford",1
"US","US-CA","US-CA-RohnertPark",1
"US","US-NY","US-NY-Lynbrook",1
"US","US-CA","US-CA-Valencia",1
"US","US-CA","US-CA-Napa",1
"US","US-CA","US-CA-BeverlyHills",1
"US","US-CA","US-CA-LagunaWoods",1
"US","US-NV","US-NV-Elko",1
"US","US-FL","US-FL-LynnHaven",1
"US","US-KY","US-KY-Florence",1
"US","US-CA","US-CA-Duarte",1
"US","US-NY","US-NY-Baldwin",1
"US","US-SD","US-SD-Lennox",1
"US","US-CA","US-CA-SanMartin",1
"US","US-CA","US-CA-Richmond",1
"US","US-CA","US-CA-Pomona",1
"US","US-PA","US-PA-NewOxford",1
"US","US-CA","US-CA-Reseda",1
"US","US-CA","US-CA-Pittsburg",1
"US","US-TX","US-TX-Portland",1
"US","US-FL","US-FL-Lantana",1
"US","US-SC","US-SC-Aiken",1
"US","US-CA","US-CA-LaCanadaFlintridge",1
"US","US-GA","US-GA-Brunswick",1
"US","US-MI",,1
"US","US-CA","US-CA-Oceanside",1
"US","US-CA","US-CA-Newark",1
"US","US-CA","US-CA-AlisoViejo",1
"US","US-TX","US-TX-Helotes",1
"US","US-CA","US-CA-Hercules",1
"CA","CA-QC","CA-QC-Laval",1
